동부스팩5호(281740),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-12-13,2030,2030,2025,2025,2002,9801.0,4840000.0
2018-12-14,2030,2030,2030,2030,450,9825.0,4840000.0
2018-12-17,2030,2030,2030,2030,2000,9825.0,4840000.0
2018-12-18,2030,2030,2030,2030,2001,9825.0,4840000.0
2018-12-19,2025,2025,2025,2025,2333,9801.0,4840000.0
2018-12-20,2025,2025,2025,2025,4678,9801.0,4840000.0
2018-12-21,2025,2025,2025,2025,900,9801.0,4840000.0
2018-12-24,2025,2025,2025,2025,4261,9801.0,4840000.0
2018-12-26,2020,2020,2020,2020,700,9777.0,4840000.0
2018-12-27,2020,2020,2020,2020,14,9777.0,4840000.0
2018-12-28,2045,2045,2045,2045,10,9898.0,4840000.0
2019-01-02,2020,2025,2020,2025,260,9801.0,4840000.0
2019-01-03,2025,2025,2025,2025,0,9801.0,4840000.0
2019-01-04,2025,2025,2025,2025,50,9801.0,4840000.0
2019-01-07,2025,2025,2025,2025,200,9801.0,4840000.0
2019-01-08,2030,2030,2030,2030,1000,9825.0,4840000.0
2019-01-09,2025,2025,2025,2025,1000,9801.0,4840000.0
2019-01-10,2025,2025,2025,2025,10000,9801.0,4840000.0
2019-01-11,2025,2025,2025,2025,0,,
2019-01-14,2025,2025,2025,2025,31,9801.0,4840000.0
2019-01-15,2025,2025,2025,2025,1,9801.0,4840000.0
2019-01-16,2025,2030,2025,2030,2000,9825.0,4840000.0
2019-01-17,2030,2030,2030,2030,408,9825.0,4840000.0
2019-01-18,2030,2030,2030,2030,1980,9825.0,4840000.0
2019-01-21,2030,2030,2030,2030,500,9825.0,4840000.0
2019-01-22,2030,2030,2030,2030,0,,
2019-01-23,2035,2035,2035,2035,87,9849.0,4840000.0
2019-01-24,2025,2025,2025,2025,914,9801.0,4840000.0
2019-01-25,2025,2025,2025,2025,1000,9801.0,4840000.0
2019-01-28,2025,2025,2025,2025,0,,
2019-01-29,2025,2025,2025,2025,1000,,
2019-01-30,2025,2025,2025,2025,827,9801.0,4840000.0
2019-01-31,2045,2045,2045,2045,1,9898.0,4840000.0
2019-02-01,2030,2030,2030,2030,1200,9825.0,4840000.0
2019-02-07,2030,2030,2030,2030,548,9825.0,4840000.0
2019-02-08,2040,2040,2040,2040,1,9874.0,4840000.0
2019-02-11,2045,2045,2040,2040,1719,9874.0,4840000.0
2019-02-12,2050,2050,2035,2035,51,9849.0,4840000.0
2019-02-13,2055,2055,2055,2055,1,9946.0,4840000.0
2019-02-14,2055,2055,2025,2050,8010,9922.0,4840000.0
2019-02-15,2050,2050,2040,2040,999,9874.0,4840000.0
2019-02-18,2060,2060,2050,2050,2001,9922.0,4840000.0
2019-02-19,2050,2050,2050,2050,301,9922.0,4840000.0
2019-02-20,2055,2055,2055,2055,1,9946.0,4840000.0
2019-02-21,2055,2055,2055,2055,1,9946.0,4840000.0
2019-02-22,2060,2060,2060,2060,1,9970.0,4840000.0
2019-02-25,2055,2055,2030,2030,11,9825.0,4840000.0
2019-02-26,2055,2055,2035,2035,1012,9849.0,4840000.0
2019-02-27,2055,2055,2030,2030,102,9825.0,4840000.0
2019-02-28,2040,2040,2025,2035,21581,9849.0,4840000.0
2019-03-04,2050,2050,2025,2035,101,9849.0,4840000.0
2019-03-05,2050,2050,2030,2030,101,9825.0,4840000.0
2019-03-06,2050,2050,2035,2035,126,9849.0,4840000.0
2019-03-07,2050,2050,2025,2035,362,9849.0,4840000.0
2019-03-08,2050,2055,2045,2045,24485,9898.0,4840000.0
2019-03-11,2065,2065,2040,2040,1002,9874.0,4840000.0
2019-03-12,2040,2060,2030,2055,7026,9946.0,4840000.0
2019-03-13,2065,2075,2060,2070,7860,10019.0,4840000.0
2019-03-14,2070,2070,2065,2070,3155,10019.0,4840000.0
2019-03-15,2075,2080,2070,2075,3036,10043.0,4840000.0
2019-03-18,2080,2080,2075,2075,562,10043.0,4840000.0
2019-03-19,2080,2085,2080,2085,1562,10091.0,4840000.0
2019-03-20,2085,2085,2075,2080,3908,10067.0,4840000.0
2019-03-21,2080,2080,2070,2070,3302,10019.0,4840000.0
2019-03-22,2080,2080,2050,2055,13606,9946.0,4840000.0
2019-03-25,2085,2085,2070,2070,5448,10019.0,4840000.0
2019-03-26,2075,2075,2055,2060,1798,9970.0,4840000.0
2019-03-27,2080,2080,2065,2070,3067,10019.0,4840000.0
2019-03-28,2080,2080,2070,2070,2902,10019.0,4840000.0
2019-03-29,2080,2080,2080,2080,2,10067.0,4840000.0
2019-04-01,2080,2080,2070,2070,900,10019.0,4840000.0
2019-04-02,2080,2080,2075,2075,4817,10043.0,4840000.0
2019-04-03,2080,2080,2065,2075,2026,10043.0,4840000.0
2019-04-04,2080,2080,2070,2070,8770,10019.0,4840000.0
2019-04-05,2070,2080,2070,2070,7650,10019.0,4840000.0
2019-04-08,2080,2080,2075,2075,1095,10043.0,4840000.0
2019-04-09,2085,2085,2075,2075,1532,10043.0,4840000.0
2019-04-10,2085,2085,2085,2085,1147,10091.0,4840000.0
2019-04-11,2090,2090,2085,2085,1778,10091.0,4840000.0
2019-04-12,2085,2105,2080,2100,41841,10164.0,4840000.0
2019-04-15,2100,2105,2090,2095,3473,10140.0,4840000.0
2019-04-16,2100,2100,2090,2090,2015,10116.0,4840000.0
2019-04-17,2100,2100,2090,2095,1769,10140.0,4840000.0
2019-04-18,2105,2120,2095,2100,21906,10164.0,4840000.0
2019-04-19,2120,2120,2090,2095,5207,10140.0,4840000.0
2019-04-22,2120,2120,2090,2095,1104,10140.0,4840000.0
2019-04-23,2115,2115,2090,2095,2455,10140.0,4840000.0
2019-04-24,2115,2115,2095,2095,2604,10140.0,4840000.0
2019-04-25,2130,2130,2090,2090,1102,10116.0,4840000.0
2019-04-26,2115,2115,2090,2095,3689,10140.0,4840000.0
2019-04-29,2115,2115,2090,2095,1129,10140.0,4840000.0
2019-04-30,2115,2120,2095,2100,4721,10164.0,4840000.0
2019-05-02,2100,2120,2090,2095,42711,10140.0,4840000.0
2019-05-03,2120,2120,2075,2080,62383,10067.0,4840000.0
2019-05-07,2120,2120,2095,2100,20715,10164.0,4840000.0
2019-05-08,2120,2120,2090,2100,9204,10164.0,4840000.0
2019-05-09,2120,2125,2090,2090,55809,10116.0,4840000.0
2019-05-10,2160,2160,2120,2125,6230,10285.0,4840000.0
2019-05-13,2160,2160,2120,2135,12583,10333.0,4840000.0
2019-05-14,2135,2155,2135,2135,34026,10333.0,4840000.0
2019-05-15,2160,2160,2130,2130,3049,10309.0,4840000.0
2019-05-16,2175,2175,2130,2130,33366,10309.0,4840000.0
2019-05-17,2170,2170,2120,2120,3003,10261.0,4840000.0
2019-05-20,2160,2160,2115,2120,5148,10261.0,4840000.0
2019-05-21,2145,2145,2120,2130,6597,10309.0,4840000.0
2019-05-22,2165,2165,2130,2130,4776,10309.0,4840000.0
2019-05-23,2165,2165,2120,2145,2112,10382.0,4840000.0
2019-05-24,2160,2160,2120,2150,8104,10406.0,4840000.0
2019-05-27,2150,2150,2145,2150,3937,10406.0,4840000.0
2019-05-28,2170,2170,2145,2150,1260,10406.0,4840000.0
2019-05-29,2150,2150,2130,2145,143174,10382.0,4840000.0
2019-05-30,2170,2170,2150,2155,279,10430.0,4840000.0
2019-05-31,2160,2160,2120,2120,955,10261.0,4840000.0
2019-06-03,2165,2165,2125,2145,12413,10382.0,4840000.0
2019-06-04,2170,2170,2130,2140,1093,10358.0,4840000.0
2019-06-05,2165,2165,2130,2135,2137,10333.0,4840000.0
2019-06-07,2165,2165,2130,2130,10112,10309.0,4840000.0
2019-06-10,2170,2170,2130,2145,4625,10382.0,4840000.0
2019-06-11,2170,2170,2125,2125,2435,10285.0,4840000.0
2019-06-12,2170,2170,2115,2120,662,10261.0,4840000.0
2019-06-13,2125,2125,2115,2120,2202,10261.0,4840000.0
2019-06-14,2170,2170,2120,2150,2333,10406.0,4840000.0
2019-06-17,2165,2165,2110,2125,5143,10285.0,4840000.0
2019-06-18,2150,2150,2115,2145,4601,10382.0,4840000.0
2019-06-19,2150,2150,2150,2150,6854,10406.0,4840000.0
2019-06-20,2150,2150,2130,2145,5393,10382.0,4840000.0
2019-06-21,2160,2160,2145,2145,20007,10382.0,4840000.0
2019-06-24,2150,2155,2150,2150,2118,10406.0,4840000.0
2019-06-25,2150,2150,2135,2150,5566,10406.0,4840000.0
2019-06-26,2150,2160,2150,2160,25647,10454.0,4840000.0
2019-06-27,2165,2165,2130,2130,9388,10309.0,4840000.0
2019-06-28,2155,2155,2130,2130,8274,10309.0,4840000.0
2019-07-01,2160,2165,2135,2160,3431,10454.0,4840000.0
2019-07-02,2160,2160,2120,2145,1506,10382.0,4840000.0
2019-07-03,2115,2150,2115,2140,2706,10358.0,4840000.0
2019-07-04,2160,2160,2150,2150,885,10406.0,4840000.0
2019-07-05,2165,2190,2145,2185,24377,10575.0,4840000.0
2019-07-08,2175,2220,2175,2215,11148,10721.0,4840000.0
2019-07-09,2225,2225,2170,2175,20790,10527.0,4840000.0
2019-07-10,2180,2200,2180,2200,6153,10648.0,4840000.0
2019-07-11,2215,2215,2185,2200,7590,10648.0,4840000.0
2019-07-12,2235,2235,2195,2195,25948,10624.0,4840000.0
2019-07-15,2235,2235,2195,2200,9100,10648.0,4840000.0
2019-07-16,2220,2220,2180,2180,10223,10551.0,4840000.0
2019-07-17,2230,2230,2150,2185,13304,10575.0,4840000.0
2019-07-18,2225,2225,2180,2190,4911,10600.0,4840000.0
2019-07-19,2200,2200,2180,2185,4783,10575.0,4840000.0
2019-07-22,2180,2230,2180,2200,27755,10648.0,4840000.0
2019-07-23,2200,2230,2200,2200,29947,10648.0,4840000.0
2019-07-24,2200,2220,2195,2195,40806,10624.0,4840000.0
2019-07-25,2195,2240,2190,2240,36478,10842.0,4840000.0
2019-07-26,2210,2210,2200,2205,2081,10672.0,4840000.0
2019-07-29,2200,2205,2180,2205,16972,10672.0,4840000.0
2019-07-30,2210,2210,2200,2205,15483,10672.0,4840000.0
2019-07-31,2200,2205,2200,2205,18516,10672.0,4840000.0
2019-08-01,2205,2205,2195,2200,5302,10648.0,4840000.0
2019-08-02,2190,2210,2190,2210,3914,10696.0,4840000.0
2019-08-05,2200,2200,2165,2190,12630,10600.0,4840000.0
2019-08-06,2190,2190,2160,2180,13885,10551.0,4840000.0
2019-08-07,2140,2180,2140,2180,5404,10551.0,4840000.0
2019-08-08,2180,2180,2160,2175,2966,10527.0,4840000.0
2019-08-09,2160,2180,2160,2175,5927,10527.0,4840000.0
2019-08-12,2170,2175,2165,2175,1718,10527.0,4840000.0
2019-08-13,2175,2190,2160,2190,4982,10600.0,4840000.0
2019-08-14,2185,2195,2150,2190,7004,10600.0,4840000.0
2019-08-16,2190,2190,2155,2160,2941,10454.0,4840000.0
2019-08-19,2160,2170,2150,2160,5325,10454.0,4840000.0
2019-08-20,2170,2170,2150,2160,12426,10454.0,4840000.0
2019-08-21,2165,2165,2150,2160,8307,10454.0,4840000.0
2019-08-22,2160,2180,2155,2170,12450,10503.0,4840000.0
2019-08-23,2170,2180,2160,2160,5818,10454.0,4840000.0
2019-08-26,2160,2170,2160,2160,9289,10454.0,4840000.0
2019-08-27,2160,2165,2160,2160,3011,10454.0,4840000.0
2019-08-28,2180,2180,2140,2155,19273,10430.0,4840000.0
2019-08-29,2145,2170,2130,2155,6517,10430.0,4840000.0
2019-08-30,2155,2180,2155,2175,5646,10527.0,4840000.0
2019-09-02,2165,2190,2165,2170,2448,10503.0,4840000.0
2019-09-03,2170,2200,2165,2200,8398,10648.0,4840000.0
