대신밸런스제4호스팩(262830),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-09-04,2125,2125,2110,2115,10593,10421.0,5010000.0
2018-09-05,2115,2125,2110,2125,10309,10471.0,5010000.0
2018-09-06,2115,2120,2115,2115,4221,10421.0,5010000.0
2018-09-07,2105,2125,2105,2105,902,10371.0,5010000.0
2018-09-10,2105,2105,2100,2100,41338,10346.0,5010000.0
2018-09-11,2120,2125,2120,2120,529,10446.0,5010000.0
2018-09-12,2105,2105,2105,2105,27,10371.0,5010000.0
2018-09-13,2105,2135,2105,2131,7323,10496.0,5010000.0
2018-09-14,2130,2130,2110,2110,1608,10396.0,5010000.0
2018-09-17,2110,2110,2110,2110,5037,10396.0,5010000.0
2018-09-18,2110,2110,2110,2110,21,10396.0,5010000.0
2018-09-19,2110,2110,2110,2110,28,10396.0,5010000.0
2018-09-20,2110,2110,2110,2110,14326,10396.0,5010000.0
2018-09-21,2115,2115,2110,2110,7323,10396.0,5010000.0
2018-09-27,2105,2115,2105,2115,668,10421.0,5010000.0
2018-09-28,2110,2115,2110,2115,1687,10421.0,5010000.0
2018-10-01,2115,2125,2110,2120,16591,10446.0,5010000.0
2018-10-02,2120,2135,2120,2136,1901,10521.0,5010000.0
2018-10-04,2120,2125,2120,2125,4800,10471.0,5010000.0
2018-10-05,2115,2115,2115,2115,2037,10421.0,5010000.0
2018-10-08,2115,2115,2115,2115,11220,10421.0,5010000.0
2018-10-10,2115,2115,2110,2110,8653,10396.0,5010000.0
2018-10-11,2110,2110,2105,2110,11250,10396.0,5010000.0
2018-10-12,2110,2110,2105,2105,1610,10371.0,5010000.0
2018-10-15,2105,2110,2105,2110,6021,10396.0,5010000.0
2018-10-16,2105,2105,2105,2105,1010,10371.0,5010000.0
2018-10-17,2105,2105,2105,2105,2000,10371.0,5010000.0
2018-10-18,2105,2110,2105,2110,2301,10396.0,5010000.0
2018-10-19,2110,2110,2110,2110,420,10396.0,5010000.0
2018-10-22,2084,2089,2084,2090,1010,10296.0,5010000.0
2018-10-23,2105,2105,2105,2105,1500,10371.0,5010000.0
2018-10-24,2094,2100,2094,2100,600,10346.0,5010000.0
2018-10-25,2094,2094,2094,2095,1300,10321.0,5010000.0
2018-10-26,2100,2100,2089,2090,8067,10296.0,5010000.0
2018-10-29,2089,2100,2089,2100,413,10346.0,5010000.0
2018-10-30,2100,2100,2069,2069,12073,10195.0,5010000.0
2018-10-31,2069,2069,2069,2069,3100,10195.0,5010000.0
2018-11-01,2074,2074,2074,2075,0,10220.0,5010000.0
2018-11-02,2074,2074,2074,2075,2800,10220.0,5010000.0
2018-11-05,2074,2074,2074,2075,1201,10220.0,5010000.0
2018-11-06,2074,2079,2074,2080,1705,10245.0,5010000.0
2018-11-07,2079,2079,2074,2075,977,10220.0,5010000.0
2018-11-08,2074,2074,2074,2075,0,10220.0,5010000.0
2018-11-09,2074,2074,2074,2075,0,,
2018-11-12,2069,2069,2069,2069,5,10195.0,5010000.0
2018-11-13,2074,2074,2074,2075,0,,
2018-11-14,2074,2074,2074,2075,2000,10220.0,5010000.0
2018-11-15,2074,2074,2074,2075,1900,10220.0,5010000.0
2018-11-16,2089,2089,2089,2090,200,10296.0,5010000.0
2018-11-19,2100,2100,2094,2095,69,10321.0,5010000.0
2018-11-20,2089,2094,2089,2095,15379,10321.0,5010000.0
2018-11-21,2094,2094,2089,2090,1313,10296.0,5010000.0
2018-11-22,2089,2089,2089,2090,0,,
2018-11-23,2089,2089,2089,2090,0,,
2018-11-26,2089,2089,2089,2090,0,,
2018-11-27,2084,2084,2084,2085,8347,10270.0,5010000.0
2018-11-28,2079,2079,2079,2080,520,10245.0,5010000.0
2018-11-29,2084,2084,2084,2085,6509,10270.0,5010000.0
2018-11-30,2084,2084,2084,2085,0,,
2018-12-03,2089,2089,2089,2090,0,,
2018-12-04,2094,2094,2094,2095,12294,10321.0,5010000.0
2018-12-05,2094,2094,2094,2095,601,10321.0,5010000.0
2018-12-06,2094,2094,2094,2095,7979,10321.0,5010000.0
2018-12-07,2094,2094,2094,2095,0,10321.0,5010000.0
2018-12-10,2100,2100,2100,2100,0,10346.0,5010000.0
2018-12-11,2100,2100,2100,2100,20983,10346.0,5010000.0
2018-12-12,2100,2100,2100,2100,4100,10346.0,5010000.0
2018-12-13,2100,2100,2100,2100,10,10346.0,5010000.0
2018-12-14,2100,2100,2100,2100,0,10346.0,5010000.0
2018-12-17,0,0,0,2100,0,,
2018-12-18,0,0,0,2100,0,,
2018-12-19,0,0,0,2100,0,,
2018-12-20,0,0,0,2100,0,,
