씨티케이코스메틱스(260930),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-08-28,18100,19000,18100,18950,7739,191815.0,10122151.0
2019-08-29,18750,19050,18600,18800,9737,190296.0,10122151.0
2019-08-30,18600,19200,18600,18850,7998,190803.0,10122151.0
2019-09-02,18850,18850,18350,18550,9778,187766.0,10122151.0
2019-09-03,18650,19100,18550,18750,31829,189790.0,10122151.0
2019-09-04,18700,18800,18400,18800,6975,190296.0,10122151.0
2019-09-05,18800,18900,17950,18300,10479,185235.0,10122151.0
2019-09-06,18300,18500,17700,18100,9820,183211.0,10122151.0
2019-09-09,18000,18150,16600,16900,44167,171064.0,10122151.0
2019-09-10,16900,16950,16000,16500,38674,167015.0,10122151.0
2019-09-11,16550,16750,16200,16650,14844,168534.0,10122151.0
2019-09-16,16700,17350,16600,16650,19456,168534.0,10122151.0
2019-09-17,16450,16950,16300,16800,11695,170052.0,10122151.0
2019-09-18,16650,17000,16500,16550,26997,167522.0,10122151.0
2019-09-19,16550,16700,16050,16150,18253,163473.0,10122151.0
2019-09-20,16200,16350,16100,16350,6425,165497.0,10122151.0
2019-09-23,16150,16350,15900,16200,11204,163979.0,10122151.0
2019-09-24,16150,16200,15850,16150,9072,163473.0,10122151.0
2019-09-25,16150,16150,15400,15900,15819,160942.0,10122151.0
2019-09-26,15750,15750,15050,15200,22755,153857.0,10122151.0
2019-09-27,15100,15300,15050,15250,10967,154363.0,10122151.0
2019-09-30,15300,15300,15100,15150,3441,153351.0,10122151.0
2019-10-01,15250,15250,14700,15050,11467,152338.0,10122151.0
2019-10-02,14800,15100,14700,15100,5378,152844.0,10122151.0
2019-10-04,14750,14950,14450,14500,16178,146771.0,10122151.0
2019-10-07,14350,14600,14300,14400,4429,145759.0,10122151.0
