동국제약(086450),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-09-19,12336,12336,11758,11760,2764,104310.0,6840000.0
2008-09-22,12029,12067,11605,11798,621,104652.0,6840000.0
2008-09-23,11912,11912,11218,11490,2218,101916.0,6840000.0
2008-09-24,11681,11681,11103,11644,14980,103284.0,6840000.0
2008-09-25,11642,11642,11218,11297,1781,100206.0,6840000.0
2008-09-26,11488,11488,10486,10796,12373,95760.0,6840000.0
2008-09-29,10794,10794,10254,10256,11167,90972.0,6840000.0
2008-09-30,10255,11759,9831,11258,28295,99864.0,6840000.0
2008-10-01,11257,11719,10794,11721,15921,103968.0,6840000.0
2008-10-02,11295,11912,11295,11721,10399,103968.0,6840000.0
2008-10-06,11295,11835,11103,11721,3718,103968.0,6840000.0
2008-10-07,11103,11719,10987,11721,5798,103968.0,6840000.0
2008-10-08,11719,11719,10948,10950,1158,97128.0,6840000.0
2008-10-09,10949,11104,10641,11104,2302,98496.0,6840000.0
2008-10-10,9946,11103,9946,10372,4863,91998.0,6840000.0
2008-10-13,10486,11450,10486,10796,2314,95760.0,6840000.0
2008-10-14,11759,12183,11065,11528,2056,102258.0,6840000.0
2008-10-15,11527,11565,10717,10950,4903,97128.0,6840000.0
2008-10-16,10794,10794,10023,10025,5357,88920.0,6840000.0
2008-10-17,11064,11064,10023,10603,3804,94050.0,6840000.0
2008-10-20,10601,10601,10100,10449,2345,92682.0,6840000.0
2008-10-21,10139,10640,10100,10102,4838,89604.0,6840000.0
2008-10-22,10332,10332,9677,9716,4875,86184.0,6840000.0
2008-10-23,8712,9522,8712,9485,6882,84132.0,6840000.0
2008-10-24,9176,9870,8096,8675,7445,76950.0,6840000.0
2008-10-27,8674,9252,7825,8444,12919,74898.0,6840000.0
2008-10-28,7502,8675,7502,8482,5243,75240.0,6840000.0
2008-10-29,8519,8828,7980,8020,8550,71136.0,6840000.0
2008-10-30,8057,9021,8057,8945,12596,79344.0,6840000.0
2008-10-31,9369,9369,8482,8906,10530,79002.0,6840000.0
2008-11-03,9407,9407,8944,9253,8012,82080.0,6840000.0
2008-11-04,9252,9290,8943,9292,2295,82422.0,6840000.0
2008-11-05,9637,10100,9406,9562,16494,84816.0,6840000.0
2008-11-06,9252,9560,8943,8984,6771,79686.0,6840000.0
2008-11-07,9176,9253,8713,9253,6703,82080.0,6840000.0
2008-11-10,9252,9406,9098,9331,6494,82764.0,6840000.0
2008-11-11,9098,9792,9059,9331,10931,82764.0,6840000.0
2008-11-12,9214,9484,9060,9253,4486,82080.0,6840000.0
2008-11-13,9022,9330,8944,9253,3649,82080.0,6840000.0
2008-11-14,9522,9560,9059,9408,4184,83448.0,6840000.0
2008-11-17,9638,9638,9137,9446,4016,83790.0,6840000.0
2008-11-18,9523,9523,9137,9176,2592,81396.0,6840000.0
2008-11-19,9022,9253,8983,9099,5870,80712.0,6840000.0
2008-11-20,8790,9060,8790,8829,3770,78318.0,6840000.0
2008-11-21,8481,9715,8172,9485,6293,84132.0,6840000.0
2008-11-24,9252,9560,9059,9331,5309,82764.0,6840000.0
2008-11-25,9561,9561,8906,9176,7342,81396.0,6840000.0
2008-11-26,9330,9330,8983,9253,4260,82080.0,6840000.0
2008-11-27,9253,9638,9099,9523,3959,84474.0,6840000.0
2008-11-28,9638,9638,9407,9523,1068,84474.0,6840000.0
2008-12-01,9523,9523,8906,9369,1084,83106.0,6840000.0
2008-12-02,8713,9446,8713,9253,2261,82080.0,6840000.0
2008-12-03,9060,9253,8944,9176,3468,81396.0,6840000.0
2008-12-04,9137,9369,9022,9369,4676,83106.0,6840000.0
2008-12-05,9368,9445,9329,9408,2787,83448.0,6840000.0
