차바이오텍(085660),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-02-07,8648,8947,8575,8948,376901,42273.0,5032500.0
2007-02-08,9000,9042,8647,8649,376368,40864.0,5032500.0
2007-02-09,8562,8680,8350,8649,257418,40864.0,5032500.0
2007-02-12,8533,8585,8256,8256,146504,39002.0,5032500.0
2007-02-13,8126,8286,8051,8085,150344,38197.0,5032500.0
2007-02-14,8022,8171,8022,8096,140121,38247.0,5032500.0
2007-02-15,8149,8307,8052,8127,111246,38398.0,5032500.0
2007-02-16,8150,8256,7937,7936,84743,37492.0,5032500.0
2007-02-20,7936,8084,7904,8053,59528,38046.0,5032500.0
2007-02-21,8062,8095,7871,7925,97271,37442.0,5032500.0
2007-02-22,7924,8158,7924,8127,84709,38398.0,5032500.0
2007-02-23,8127,8298,7999,8032,92844,37945.0,5032500.0
2007-02-26,8043,8117,7914,7967,74019,37643.0,5032500.0
2007-02-27,7958,7990,7680,7776,78559,36737.0,5032500.0
2007-02-28,7051,7446,7051,7424,91030,35077.0,5032500.0
2007-03-02,7350,7776,7350,7478,84641,35328.0,5032500.0
2007-03-05,7381,7669,7371,7382,80691,34875.0,5032500.0
2007-03-06,7381,7637,7371,7563,57730,35731.0,5032500.0
2007-03-07,7573,7658,7402,7403,62303,34976.0,5032500.0
2007-03-08,7498,7498,7329,7456,61678,35228.0,5032500.0
2007-03-09,7488,7488,7297,7329,76785,34624.0,5032500.0
2007-03-12,7350,7616,7329,7563,68544,35731.0,5032500.0
2007-03-13,7509,7881,7497,7765,99735,36687.0,5032500.0
2007-03-14,7616,7649,7477,7584,66056,35831.0,5032500.0
2007-03-15,7671,7744,7574,7670,72384,36234.0,5032500.0
2007-03-16,7670,8032,7627,8032,92492,37945.0,5032500.0
2007-03-19,8032,8309,7937,8256,103057,39002.0,5032500.0
2007-03-20,8403,8457,8191,8266,85077,39052.0,5032500.0
2007-03-21,8403,8403,8104,8266,90062,39052.0,5032500.0
2007-03-22,8211,8361,8158,8244,67401,38952.0,5032500.0
2007-03-23,8201,8350,8149,8266,65389,39052.0,5032500.0
2007-03-26,8287,8756,8287,8693,169977,41065.0,5032500.0
2007-03-27,8841,9991,8841,9991,589369,47205.0,5032500.0
2007-03-28,10555,11291,10247,10758,1127069,50828.0,5032500.0
2007-03-29,10652,11131,10438,10652,533577,50325.0,5032500.0
2007-03-30,10545,10641,9341,9587,752292,45292.0,5032500.0
2007-04-02,10013,10323,9331,9481,460885,44789.0,5032500.0
2007-04-03,9598,10055,9598,9800,356457,46299.0,5032500.0
2007-04-04,9799,10225,9639,10034,244922,47406.0,5032500.0
2007-04-05,10013,11504,9907,10866,1173208,51332.0,5032500.0
2007-04-06,10972,11026,10439,10706,289437,50577.0,5032500.0
2007-04-09,10811,12196,10598,11823,552217,55861.0,5032500.0
2007-04-10,11823,12143,11397,11823,210720,55861.0,5032500.0
2007-04-11,11611,11823,11291,11557,253315,54603.0,5032500.0
2007-04-12,10972,11718,10972,11345,110638,53596.0,5032500.0
2007-04-13,11346,11558,10972,11185,152539,52841.0,5032500.0
2007-04-16,11504,11931,11132,11611,148550,54854.0,5032500.0
2007-04-17,11717,11717,10865,11078,143871,52338.0,5032500.0
2007-04-18,11186,11238,10759,10866,119671,51332.0,5032500.0
2007-04-19,10865,11663,10758,11238,146584,53093.0,5032500.0
2007-04-20,11237,11663,11131,11398,131886,53848.0,5032500.0
2007-04-23,11346,11558,11132,11185,87526,52841.0,5032500.0
2007-04-24,11185,11291,10865,11078,57690,52338.0,5032500.0
2007-04-25,11292,12038,10972,11185,570367,52841.0,5032500.0
2007-04-26,11184,11184,10554,10556,147436,49872.0,5032500.0
2007-04-27,10555,10598,10023,10332,106700,48815.0,5032500.0
2007-04-30,10258,10332,10013,10322,57260,48765.0,5032500.0
2007-05-02,10172,10428,10141,10141,35739,47909.0,5032500.0
2007-05-03,10173,10588,10173,10429,28570,49268.0,5032500.0
2007-05-04,10503,10652,10120,10429,27324,49268.0,5032500.0
2007-05-07,10652,10652,10374,10642,50649,50275.0,5032500.0
2007-05-08,10631,10758,10492,10652,38221,50325.0,5032500.0
2007-05-09,11025,11025,10332,10588,33300,50023.0,5032500.0
2007-05-10,10566,10641,10268,10439,27457,49318.0,5032500.0
2007-05-11,10130,10642,10130,10386,25032,49067.0,5032500.0
2007-05-14,10535,10535,10121,10386,22043,49067.0,5032500.0
2007-05-15,10226,10641,10172,10439,29674,49318.0,5032500.0
2007-05-16,10440,10440,10120,10269,29825,48513.0,5032500.0
2007-05-17,10406,10406,9959,10055,37434,47507.0,5032500.0
2007-05-18,10279,10279,9725,9853,59364,46551.0,5032500.0
2007-05-21,9747,10013,9587,9864,66560,46601.0,5032500.0
2007-05-22,10033,10033,9533,9693,75331,45796.0,5032500.0
2007-05-23,9619,9682,9236,9417,83519,44487.0,5032500.0
2007-05-25,9426,10065,9308,10055,73513,47507.0,5032500.0
2007-05-28,9779,10374,9779,10173,58971,48060.0,5032500.0
2007-05-29,10183,10311,9757,10173,66138,48060.0,5032500.0
2007-05-30,10107,10107,9799,10109,34626,47758.0,5032500.0
2007-05-31,10099,10099,9693,9981,19062,47155.0,5032500.0
2007-06-01,9864,10067,9555,9779,87038,46198.0,5032500.0
2007-06-04,9780,9780,9470,9481,44130,44789.0,5032500.0
2007-06-05,9480,9948,9373,9832,78243,46450.0,5032500.0
2007-06-07,9778,10065,9734,9895,27787,46752.0,5032500.0
2007-06-08,9916,10067,9650,10045,45585,47456.0,5032500.0
