디바이스이엔지(187870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-09-10,9560,9670,9430,9600,24613,65107.0,6782000.0
2019-09-11,9670,9680,9450,9590,21183,65039.0,6782000.0
2019-09-16,9510,9600,9370,9470,18997,64226.0,6782000.0
2019-09-17,9470,9690,9390,9680,19274,65650.0,6782000.0
2019-09-18,9750,9750,9510,9680,23548,65650.0,6782000.0
2019-09-19,9640,9780,9640,9780,26172,66328.0,6782000.0
2019-09-20,9810,10100,9800,9910,48825,67210.0,6782000.0
2019-09-23,9960,10050,9770,9830,21569,66667.0,6782000.0
2019-09-24,9810,9870,9600,9830,21270,66667.0,6782000.0
2019-09-25,9760,10800,9600,10200,309943,69176.0,6782000.0
2019-09-26,10350,10600,9990,10100,102784,68498.0,6782000.0
2019-09-27,10100,10750,10050,10300,84481,69855.0,6782000.0
2019-09-30,10300,10450,9950,10450,83903,70872.0,6782000.0
2019-10-01,10450,10600,10200,10400,45126,70533.0,6782000.0
2019-10-02,10400,10450,10000,10200,35254,69176.0,6782000.0
2019-10-04,10050,10150,9850,9850,39934,66803.0,6782000.0
2019-10-07,9900,10000,9520,9600,22088,65107.0,6782000.0
