알에스오토메이션(140670),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-12-17,10800,10900,10650,10850,62252,98769.0,9103140.0
2018-12-18,10600,11600,10450,11600,213899,105596.0,9103140.0
2018-12-19,11550,12100,11450,11950,326412,108783.0,9103140.0
2018-12-20,11700,11950,11300,11500,128972,104686.0,9103140.0
2018-12-21,11450,12050,11300,11950,113573,108783.0,9103140.0
2018-12-24,11850,11900,11500,11700,96307,106507.0,9103140.0
2018-12-26,11350,11500,11150,11450,67606,104231.0,9103140.0
2018-12-27,11850,11850,10950,11000,109247,100135.0,9103140.0
2018-12-28,11100,11300,10850,11100,89438,101045.0,9103140.0
2019-01-02,11200,11250,10450,10750,143131,97859.0,9103140.0
2019-01-03,10750,10900,10450,10550,49429,96038.0,9103140.0
2019-01-04,10450,10600,9950,10500,117633,95583.0,9103140.0
2019-01-07,10600,10900,10350,10900,86616,99224.0,9103140.0
2019-01-08,10950,10950,10450,10500,79177,95583.0,9103140.0
2019-01-09,10650,11200,10600,11200,134571,101955.0,9103140.0
2019-01-10,11500,12000,11250,11250,330791,102410.0,9103140.0
2019-01-11,11400,11900,11200,11700,223491,106507.0,9103140.0
2019-01-14,11700,11900,11450,11800,110715,107417.0,9103140.0
2019-01-15,11700,11850,11600,11700,76524,106507.0,9103140.0
2019-01-16,11700,11750,11400,11600,103364,105596.0,9103140.0
2019-01-17,11600,11750,11300,11450,61358,104231.0,9103140.0
2019-01-18,11500,12350,11450,12150,323434,110603.0,9103140.0
2019-01-21,12400,13600,12100,13600,624684,123803.0,9103140.0
2019-01-22,13450,13800,12900,12950,383555,117886.0,9103140.0
2019-01-23,12800,13850,12650,13200,569207,120161.0,9103140.0
2019-01-24,13350,13450,12950,13300,134785,121072.0,9103140.0
2019-01-25,13300,13400,12850,13050,126448,118796.0,9103140.0
2019-01-28,13050,13250,12700,12700,128235,115610.0,9103140.0
2019-01-29,12700,12950,12550,12750,108519,116065.0,9103140.0
2019-01-30,12900,13000,12550,12700,68440,115610.0,9103140.0
2019-01-31,12750,12750,12100,12500,58389,113789.0,9103140.0
2019-02-01,12650,12650,12150,12450,83066,113334.0,9103140.0
2019-02-07,12450,13050,12300,12950,158158,117886.0,9103140.0
