코렌(078650),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-02-08,1880,1953,1863,1881,8984,14282.0,6209603.0
2012-02-09,1847,1929,1835,1889,12617,14344.0,6209603.0
2012-02-10,1941,1941,1868,1868,3881,14189.0,6209603.0
2012-02-13,1863,1917,1831,1877,7449,14251.0,6209603.0
2012-02-14,1917,1917,1827,1836,17386,13941.0,6209603.0
2012-02-15,1847,2003,1847,1918,19799,14562.0,6209603.0
2012-02-16,1900,2203,1900,2204,228833,16735.0,6209603.0
2012-02-17,2289,2289,2044,2044,299621,15524.0,6209603.0
2012-02-20,2076,2195,2044,2146,88035,16300.0,6209603.0
2012-02-21,2228,2465,2211,2294,829872,17418.0,6209603.0
2012-02-22,2256,2256,2175,2220,136448,16859.0,6209603.0
2012-02-23,2199,2550,2084,2552,335738,19374.0,6209603.0
2012-02-24,2448,2534,2391,2477,66032,18815.0,6209603.0
2012-02-27,2469,2469,2248,2315,61504,17573.0,6209603.0
2012-02-28,2260,2403,2199,2306,45290,17511.0,6209603.0
2012-02-29,2412,2432,2322,2330,36911,17697.0,6209603.0
2012-03-02,2334,2416,2257,2327,31159,17666.0,6209603.0
2012-03-05,2387,2399,2150,2171,60121,16486.0,6209603.0
2012-03-06,2125,2305,2125,2192,49311,16642.0,6209603.0
2012-03-07,2231,2231,2150,2167,10001,16455.0,6209603.0
2012-03-08,2146,2289,2146,2208,17182,16766.0,6209603.0
2012-03-09,2240,2371,2158,2265,65732,17201.0,6209603.0
2012-03-12,2350,2350,2166,2286,66169,17356.0,6209603.0
2012-03-13,2240,2284,2207,2212,25201,16797.0,6209603.0
2012-03-14,2236,2257,2190,2196,26905,16673.0,6209603.0
2012-03-15,2199,2240,2125,2240,60163,17014.0,6209603.0
2012-03-16,2354,2358,2207,2277,54696,17294.0,6209603.0
2012-03-19,2257,2313,2252,2290,18566,17387.0,6209603.0
2012-03-20,2289,2313,2240,2290,29348,17387.0,6209603.0
2012-03-21,2310,2310,2211,2212,24239,16797.0,6209603.0
2012-03-22,2240,2248,2109,2134,35164,16207.0,6209603.0
2012-03-23,2187,2187,2125,2126,8937,16145.0,6209603.0
2012-03-26,2134,2162,2101,2110,13853,16021.0,6209603.0
2012-03-27,2097,2121,2040,2073,32881,15741.0,6209603.0
2012-03-28,2031,2137,2011,2044,9954,15524.0,6209603.0
2012-03-29,2125,2125,1978,2016,16298,15307.0,6209603.0
2012-03-30,2015,2064,1897,2044,31114,15524.0,6209603.0
2012-04-02,2052,2052,1974,2008,8049,15245.0,6209603.0
2012-04-03,2031,2035,1884,1885,36022,14313.0,6209603.0
2012-04-04,1884,1929,1835,1840,24603,13972.0,6209603.0
2012-04-05,1774,1827,1774,1820,26720,13816.0,6209603.0
2012-04-06,1818,1921,1815,1885,12309,14313.0,6209603.0
2012-04-09,1880,1924,1843,1853,11675,14065.0,6209603.0
2012-04-10,1827,1917,1827,1827,2754,13878.0,6209603.0
2012-04-12,1831,1859,1757,1759,18795,13351.0,6209603.0
2012-04-13,1721,1839,1721,1840,3478,13972.0,6209603.0
2012-04-16,1802,1859,1794,1861,6418,14127.0,6209603.0
2012-04-17,1859,1909,1831,1893,13794,14375.0,6209603.0
2012-04-18,1856,1938,1856,1909,9329,14499.0,6209603.0
2012-04-19,1876,1912,1876,1909,15738,14499.0,6209603.0
2012-04-20,1880,2027,1863,1881,12191,14282.0,6209603.0
2012-04-23,1904,1904,1856,1881,2195,14282.0,6209603.0
2012-04-24,1876,1876,1806,1832,3127,13910.0,6209603.0
2012-04-25,1897,1897,1831,1865,5582,14158.0,6209603.0
2012-04-26,1843,1888,1827,1873,3352,14220.0,6209603.0
2012-04-27,1933,1933,1810,1812,10062,13754.0,6209603.0
2012-04-30,1912,1912,1778,1820,33921,13816.0,6209603.0
2012-05-02,1782,1876,1757,1783,23376,13537.0,6209603.0
2012-05-03,1782,1827,1757,1807,12595,13723.0,6209603.0
2012-05-04,1778,1827,1778,1795,2702,13630.0,6209603.0
2012-05-07,1798,2060,1794,1975,163782,14996.0,6209603.0
2012-05-08,1999,2216,1945,2102,182613,15959.0,6209603.0
2012-05-09,2125,2248,2031,2069,74542,15710.0,6209603.0
2012-05-10,2068,2101,1970,1991,54881,15120.0,6209603.0
2012-05-11,2044,2289,1965,2277,618490,17294.0,6209603.0
2012-05-14,2216,2305,2158,2228,174406,16921.0,6209603.0
2012-05-15,2231,2518,2141,2286,855734,17356.0,6209603.0
2012-05-16,2281,2424,2052,2085,322615,15834.0,6209603.0
2012-05-17,2121,2162,2023,2028,78808,15400.0,6209603.0
2012-05-18,2040,2044,1815,1905,94923,14468.0,6209603.0
2012-05-21,1810,1917,1810,1881,50029,14282.0,6209603.0
2012-05-22,1863,1999,1863,1999,46676,15182.0,6209603.0
2012-05-23,1965,2072,1900,1996,25683,15151.0,6209603.0
2012-05-24,1978,2027,1938,2028,19599,15400.0,6209603.0
2012-05-25,1994,2289,1994,2187,72318,16611.0,6209603.0
2012-05-29,2223,2277,2146,2204,37825,16735.0,6209603.0
2012-05-30,2240,2240,2121,2208,24252,16766.0,6209603.0
2012-05-31,2166,2444,2166,2371,339164,18008.0,6209603.0
