케이맥(043290),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-07-26,11100,11400,10850,11000,41090,70688.0,6426140.0
2012-07-27,11400,11400,11050,11300,35278,72615.0,6426140.0
2012-07-30,11500,11500,11250,11300,24829,72615.0,6426140.0
2012-07-31,11300,11500,11250,11350,31692,72937.0,6426140.0
2012-08-01,11250,11450,11250,11300,19591,72615.0,6426140.0
2012-08-02,11300,11400,11250,11350,14140,72937.0,6426140.0
2012-08-03,11350,11350,10900,10950,23175,70366.0,6426140.0
2012-08-06,11150,11250,11000,11150,12923,71651.0,6426140.0
2012-08-07,11100,11250,10900,11100,30738,71330.0,6426140.0
2012-08-08,11200,11250,11050,11050,24340,71009.0,6426140.0
2012-08-09,11200,11300,10950,11300,47126,72615.0,6426140.0
2012-08-10,11300,11750,11200,11600,55193,74543.0,6426140.0
2012-08-13,11750,11900,11500,11600,27146,74543.0,6426140.0
2012-08-14,11450,11700,10100,10150,409459,65225.0,6426140.0
2012-08-16,10200,10300,9310,9680,378714,62205.0,6426140.0
2012-08-17,9700,9730,9560,9600,75535,61691.0,6426140.0
2012-08-20,9510,9710,9510,9660,57442,62077.0,6426140.0
2012-08-21,9700,9860,9630,9800,60129,62976.0,6426140.0
2012-08-22,9730,10300,9730,10200,213043,65547.0,6426140.0
2012-08-23,10300,10300,9960,9990,53839,64197.0,6426140.0
2012-08-24,9990,9990,9550,9550,135109,61370.0,6426140.0
2012-08-27,9500,9680,9080,9160,101968,58863.0,6426140.0
2012-08-28,9100,9460,9100,9450,75951,60727.0,6426140.0
2012-08-29,9480,10750,9400,10600,458263,68117.0,6426140.0
2012-08-30,10400,10550,10050,10250,125349,65868.0,6426140.0
2012-08-31,10250,10700,10200,10200,76733,65547.0,6426140.0
2012-09-03,10450,10450,9940,9940,99428,63876.0,6426140.0
2012-09-04,9950,10000,9650,9760,71311,62719.0,6426140.0
2012-09-05,9780,9870,9600,9700,21602,62334.0,6426140.0
2012-09-06,9790,9790,9590,9620,30614,61819.0,6426140.0
2012-09-07,9650,9840,9620,9620,29161,61819.0,6426140.0
2012-09-10,9620,9760,9560,9600,23446,61691.0,6426140.0
2012-09-11,9600,9960,9550,9800,35532,62976.0,6426140.0
2012-09-12,9950,9950,9680,9700,35856,62334.0,6426140.0
2012-09-13,9760,9850,9650,9660,29010,62077.0,6426140.0
2012-09-14,9780,10250,9700,10000,94989,64261.0,6426140.0
2012-09-17,10000,10450,9870,10300,87211,66189.0,6426140.0
2012-09-18,10400,10650,10200,10400,146535,66832.0,6426140.0
2012-09-19,10500,10500,10200,10450,75006,67153.0,6426140.0
2012-09-20,10500,10500,10050,10050,65105,64583.0,6426140.0
2012-09-21,10250,10300,10050,10300,45927,66189.0,6426140.0
2012-09-24,10300,10550,10000,10500,72289,67474.0,6426140.0
2012-09-25,10450,11400,10450,10800,328640,69402.0,6426140.0
2012-09-26,11000,11500,10700,11150,212349,71651.0,6426140.0
2012-09-27,11200,12800,11100,12600,798234,80969.0,6426140.0
2012-09-28,12550,12700,12000,12500,234715,80327.0,6426140.0
2012-10-02,12650,12750,12300,12700,140635,81612.0,6426140.0
2012-10-04,12850,13550,12600,13100,282699,84182.0,6426140.0
2012-10-05,13300,13400,12450,12450,218267,80005.0,6426140.0
2012-10-08,12400,13450,12000,13350,338703,85789.0,6426140.0
2012-10-09,13350,13950,13000,13300,260579,85468.0,6426140.0
2012-10-10,13200,13350,12500,12500,160757,80327.0,6426140.0
2012-10-11,12450,12950,12000,12500,145680,80327.0,6426140.0
2012-10-12,12850,13300,12450,13200,212528,84825.0,6426140.0
2012-10-15,13200,13800,12650,13450,294535,86432.0,6426140.0
2012-10-16,13400,13500,12850,13000,121285,83540.0,6426140.0
2012-10-17,13050,13250,12700,12950,129754,83219.0,6426140.0
2012-10-18,13050,13700,12850,12900,276317,82897.0,6426140.0
