KB금융(105560),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-04-14,53300,55800,53300,55700,3448173,21519789.0,386351693.0
2010-04-15,57500,57900,56900,57400,4452336,22176587.0,386351693.0
2010-04-16,57100,57800,56700,57500,1729653,22215222.0,386351693.0
2010-04-19,55700,56600,55600,56300,1543124,21751600.0,386351693.0
2010-04-20,57100,57400,55500,56100,1523234,21674330.0,386351693.0
2010-04-21,56600,57400,55600,56700,1664555,21906141.0,386351693.0
2010-04-22,56000,56300,55000,55300,2178843,21365249.0,386351693.0
2010-04-23,55700,56000,54700,55500,1824478,21442519.0,386351693.0
2010-04-26,56000,57200,55800,56900,1976153,21983411.0,386351693.0
2010-04-27,56700,56800,55800,56500,1346906,21828871.0,386351693.0
2010-04-28,54900,55700,54000,54600,2251883,21094802.0,386351693.0
2010-04-29,54900,55000,53500,54000,1325862,20862991.0,386351693.0
2010-04-30,54900,55600,54500,54500,1348059,21056167.0,386351693.0
2010-05-03,54500,55000,53800,54700,933902,21133438.0,386351693.0
2010-05-04,54700,55300,54000,54000,876509,20862991.0,386351693.0
