BGF리테일(282330),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-10-10,200000,210000,199500,210000,41465,3629620.0,17283906.0
2018-10-11,209500,214500,196500,205000,52778,3543201.0,17283906.0
2018-10-12,209000,209000,197000,198000,42330,3422213.0,17283906.0
2018-10-15,197000,198500,192000,195500,21291,3379004.0,17283906.0
2018-10-16,198000,201500,196500,198500,7266,3430855.0,17283906.0
2018-10-17,200500,206000,196000,200500,12093,3465423.0,17283906.0
2018-10-18,200500,203000,197000,198500,16823,3430855.0,17283906.0
2018-10-19,198500,202000,194500,195500,17669,3379004.0,17283906.0
2018-10-22,196500,198000,193500,194500,27971,3361720.0,17283906.0
2018-10-23,193000,195500,185500,191500,30187,3309868.0,17283906.0
2018-10-24,195000,204500,192000,196500,25318,3396288.0,17283906.0
2018-10-25,198000,198000,183500,185500,27397,3206165.0,17283906.0
2018-10-26,183500,188000,173000,176500,26371,3050609.0,17283906.0
2018-10-29,176000,182000,176000,177500,20063,3067893.0,17283906.0
2018-10-30,177500,179000,174000,176000,21941,3041967.0,17283906.0
2018-10-31,173000,174000,166500,168500,87537,2912338.0,17283906.0
2018-11-01,167000,178500,166500,173500,22270,2998758.0,17283906.0
2018-11-02,177000,181000,173000,175500,36640,3033326.0,17283906.0
2018-11-05,176000,176000,169500,170500,23890,2946906.0,17283906.0
2018-11-06,173000,173000,168500,170000,30092,2938264.0,17283906.0
2018-11-07,170000,174000,165000,167000,26936,2886412.0,17283906.0
2018-11-08,171000,174500,170000,171500,31949,2964190.0,17283906.0
2018-11-09,175000,180500,169500,170500,35415,2946906.0,17283906.0
2018-11-12,171000,171000,165500,167000,17869,2886412.0,17283906.0
2018-11-13,167000,169500,165000,166000,14068,2869128.0,17283906.0
2018-11-14,166000,172000,164500,169000,12757,2920980.0,17283906.0
2018-11-15,166500,172000,166500,172000,9131,2972832.0,17283906.0
2018-11-16,171000,173000,167000,169500,16361,2929622.0,17283906.0
2018-11-19,166500,178000,166500,177500,17531,3067893.0,17283906.0
2018-11-20,178000,180500,175000,180500,787476,3119745.0,17283906.0
2018-11-21,180500,182500,177000,182000,21822,3145671.0,17283906.0
2018-11-22,181500,192000,178000,189500,29132,3275300.0,17283906.0
2018-11-23,192500,193500,180000,183000,19471,3162955.0,17283906.0
2018-11-26,187000,200000,185500,192000,26642,3318510.0,17283906.0
2018-11-27,189000,201500,188500,194500,45692,3361720.0,17283906.0
2018-11-28,196000,198000,192000,196500,21997,3396288.0,17283906.0
2018-11-29,196500,197000,189000,193000,30253,3335794.0,17283906.0
2018-11-30,193000,196000,190500,194500,36863,3361720.0,17283906.0
2018-12-03,195500,200000,191500,192000,11467,3318510.0,17283906.0
2018-12-04,192500,196000,184500,190500,41742,3292584.0,17283906.0
2018-12-05,191500,196500,187500,190500,36621,3292584.0,17283906.0
2018-12-06,197000,197000,188500,197000,24830,3404929.0,17283906.0
2018-12-07,197000,197000,190000,194000,19103,3353078.0,17283906.0
2018-12-10,189500,199000,187000,195000,21513,3370362.0,17283906.0
2018-12-11,191000,201500,191000,201000,29246,3474065.0,17283906.0
2018-12-12,202500,203000,197500,201000,32089,3474065.0,17283906.0
2018-12-13,202500,204000,198500,204000,58112,3525917.0,17283906.0
2018-12-14,206500,206500,198000,206000,24753,3560485.0,17283906.0
2018-12-17,208000,214500,207000,208000,43730,3595052.0,17283906.0
2018-12-18,210000,210000,200500,202000,26017,3491349.0,17283906.0
2018-12-19,208000,211000,204500,211000,28040,3646904.0,17283906.0
2018-12-20,214000,214000,207000,212500,23845,3672830.0,17283906.0
2018-12-21,213000,218000,212500,218000,41127,3767892.0,17283906.0
2018-12-24,219000,219000,210000,210500,11180,3638262.0,17283906.0
2018-12-26,214500,217500,204000,210000,24923,3629620.0,17283906.0
2018-12-27,205000,206000,196000,203000,30252,3508633.0,17283906.0
2018-12-28,203000,207500,203000,204000,16108,3525917.0,17283906.0
2019-01-02,201000,209000,201000,205500,17056,3551843.0,17283906.0
2019-01-03,207000,210000,204500,209500,29942,3620978.0,17283906.0
2019-01-04,210000,216000,205000,214000,34079,3698756.0,17283906.0
2019-01-07,216000,216000,205500,207500,37459,3586410.0,17283906.0
2019-01-08,209000,211000,203000,205500,31223,3551843.0,17283906.0
2019-01-09,206500,209000,202000,209000,30445,3612336.0,17283906.0
