테이팩스(055490),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-07-19,20800,21450,20800,21350,3338,100722.0,4717650.0
2019-07-22,21350,21650,21200,21500,3780,101429.0,4717650.0
2019-07-23,21250,21650,20800,21450,7880,101194.0,4717650.0
2019-07-24,21500,21500,21050,21100,3310,99542.0,4717650.0
2019-07-25,20700,21500,20700,20900,16111,98599.0,4717650.0
2019-07-26,20700,20900,20050,20850,9973,98363.0,4717650.0
2019-07-29,21450,21450,19500,20200,12991,95297.0,4717650.0
2019-07-30,19200,20500,19200,19850,29432,93645.0,4717650.0
2019-07-31,19500,20200,19450,20000,5998,94353.0,4717650.0
2019-08-01,19650,20950,19300,19850,9870,93645.0,4717650.0
2019-08-02,19800,20100,19100,19950,7141,94117.0,4717650.0
2019-08-05,19750,20300,18200,19600,12873,92466.0,4717650.0
2019-08-06,18700,19900,18300,19600,19913,92466.0,4717650.0
2019-08-07,19100,19950,19050,19600,20441,92466.0,4717650.0
2019-08-08,19800,20350,19450,20100,19753,94825.0,4717650.0
2019-08-09,20000,20600,19650,20050,16818,94589.0,4717650.0
2019-08-12,19700,19900,19600,19800,6868,93409.0,4717650.0
2019-08-13,19500,20150,19500,20100,8979,94825.0,4717650.0
2019-08-14,20100,20300,19900,20150,5094,95061.0,4717650.0
2019-08-16,20150,20150,19500,20100,10110,94825.0,4717650.0
2019-08-19,20550,20800,20000,20700,14873,97655.0,4717650.0
2019-08-20,20750,21400,20750,21200,8852,100014.0,4717650.0
2019-08-21,21300,21300,20350,20550,13626,96948.0,4717650.0
2019-08-22,20550,22150,20400,22100,47778,104260.0,4717650.0
2019-08-23,21600,22600,21500,22600,30497,106619.0,4717650.0
2019-08-26,22200,22500,21800,22350,21699,105439.0,4717650.0
2019-08-27,22350,22750,22050,22750,15199,107327.0,4717650.0
2019-08-28,22350,22950,22250,22900,13871,108034.0,4717650.0
2019-08-29,22650,22900,22500,22550,10634,106383.0,4717650.0
2019-08-30,22550,22950,22400,22850,11159,107798.0,4717650.0
2019-09-02,22850,23000,22100,22750,10350,107327.0,4717650.0
2019-09-03,22350,23350,22350,23250,17867,109685.0,4717650.0
2019-09-04,22700,23550,22700,23350,15712,110157.0,4717650.0
2019-09-05,23550,23700,23150,23650,16657,111572.0,4717650.0
2019-09-06,23800,24700,22700,24500,51445,115582.0,4717650.0
2019-09-09,24600,24700,24150,24450,13669,115347.0,4717650.0
2019-09-10,24450,24900,23300,24400,33495,115111.0,4717650.0
2019-09-11,24650,24650,23650,24500,41412,115582.0,4717650.0
2019-09-16,24900,24900,23450,24200,28747,114167.0,4717650.0
2019-09-17,24150,24200,23500,24200,42559,114167.0,4717650.0
2019-09-18,24000,24000,23600,23600,26021,111337.0,4717650.0
2019-09-19,23300,24000,22900,22900,55674,108034.0,4717650.0
2019-09-20,23100,23900,23100,23900,10860,112752.0,4717650.0
2019-09-23,23850,23850,23500,23800,10580,112280.0,4717650.0
2019-09-24,23550,23950,23300,23950,9758,112988.0,4717650.0
2019-09-25,23950,24350,23400,23700,14464,111808.0,4717650.0
2019-09-26,24100,24150,23650,24050,10740,113459.0,4717650.0
2019-09-27,24600,24600,23650,24100,12894,113695.0,4717650.0
2019-09-30,24000,24350,23500,23800,3411,112280.0,4717650.0
2019-10-01,24250,24250,23400,24100,10818,113695.0,4717650.0
2019-10-02,24350,24350,23650,23900,7965,112752.0,4717650.0
2019-10-04,24000,24000,23650,23800,2770,112280.0,4717650.0
2019-10-07,23350,24150,23350,24050,9602,113459.0,4717650.0
