동아타이어(282690),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-08-23,12450,12450,12250,12350,7901,169603.0,13733015.0
2019-08-26,12200,12350,12100,12350,2524,169603.0,13733015.0
2019-08-27,12250,12400,12200,12400,1471,170289.0,13733015.0
2019-08-28,12350,12450,12300,12400,3280,170289.0,13733015.0
2019-08-29,12350,12450,12250,12400,2026,170289.0,13733015.0
2019-08-30,12400,12550,12350,12550,3620,172349.0,13733015.0
2019-09-02,12600,12600,12200,12600,13134,173036.0,13733015.0
2019-09-03,12600,12600,12450,12600,1407,173036.0,13733015.0
2019-09-04,12450,12600,12450,12600,1986,173036.0,13733015.0
2019-09-05,12600,12650,12450,12600,1042,173036.0,13733015.0
2019-09-06,12600,12650,12450,12500,6117,171663.0,13733015.0
2019-09-09,12450,12550,12250,12400,32328,170289.0,13733015.0
2019-09-10,12400,12450,12300,12450,572,170976.0,13733015.0
2019-09-11,12450,12450,12150,12150,32265,166856.0,13733015.0
2019-09-16,12150,12500,12150,12500,4216,171663.0,13733015.0
2019-09-17,12600,12650,12250,12650,11286,173723.0,13733015.0
2019-09-18,12650,12650,12400,12400,2891,170289.0,13733015.0
2019-09-19,12400,12500,12350,12350,3103,169603.0,13733015.0
2019-09-20,12450,12450,12300,12450,1317,170976.0,13733015.0
2019-09-23,12350,12550,12300,12450,2172,170976.0,13733015.0
2019-09-24,12450,12450,12350,12450,139,170976.0,13733015.0
2019-09-25,12450,12450,12150,12250,12715,168229.0,13733015.0
2019-09-26,12250,12350,12200,12350,2427,169603.0,13733015.0
2019-09-27,12350,12550,12200,12350,4595,169603.0,13733015.0
2019-09-30,12500,12500,12250,12300,1813,168916.0,13733015.0
2019-10-01,12450,12450,12300,12450,111,170976.0,13733015.0
2019-10-02,12400,12400,12200,12200,762,167543.0,13733015.0
2019-10-04,12250,12300,12150,12300,53,168916.0,13733015.0
2019-10-07,12300,12350,12050,12050,1225,165483.0,13733015.0
