성신양회(004980),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-11-05,3637,3652,3366,3377,173730,61550.0,13893910.0
1999-11-08,3378,3393,3241,3240,162700,59049.0,13893910.0
1999-11-09,3233,3424,3233,3385,152650,61689.0,13893910.0
1999-11-10,3328,3500,3248,3278,241470,59744.0,13893910.0
1999-11-11,3279,3508,3164,3332,299480,60716.0,13893910.0
1999-11-12,3317,3347,3203,3202,161890,58354.0,13893910.0
1999-11-15,3241,3241,3126,3202,164190,58354.0,13893910.0
1999-11-16,3203,3256,3164,3164,168050,57660.0,13893910.0
1999-11-17,3138,3187,2997,2996,173740,54603.0,13893910.0
1999-11-18,2974,3126,2974,2973,136510,54186.0,13893910.0
1999-11-19,3012,3111,2959,3027,157140,55159.0,13893910.0
1999-11-22,2974,3073,2974,3011,104080,54881.0,13893910.0
1999-11-23,2974,3008,2936,2950,131850,53769.0,13893910.0
1999-11-24,2947,2947,2745,2752,141810,50157.0,13893910.0
1999-11-25,2669,2726,2554,2554,195990,46545.0,13893910.0
1999-11-26,2451,2547,2440,2455,152370,44738.0,13893910.0
1999-11-29,2440,2516,2375,2375,93780,43280.0,13893910.0
1999-11-30,2375,2516,2375,2432,100230,44322.0,13893910.0
1999-12-01,2451,2547,2402,2447,82250,44599.0,13893910.0
1999-12-02,2375,2684,2371,2676,155660,48768.0,13893910.0
1999-12-03,2448,2715,2448,2592,72450,47239.0,13893910.0
1999-12-06,2661,2661,2402,2440,53620,44461.0,13893910.0
1999-12-07,2326,2585,2135,2180,104780,39737.0,13893910.0
1999-12-08,1983,2211,1983,2211,64050,40292.0,13893910.0
1999-12-09,2135,2349,2135,2249,88070,40987.0,13893910.0
1999-12-10,2249,2585,2211,2516,179600,45850.0,13893910.0
1999-12-13,2783,2783,2516,2607,183250,47517.0,13893910.0
1999-12-14,2608,2623,2448,2558,130590,46614.0,13893910.0
1999-12-15,2570,2631,2410,2409,104020,43905.0,13893910.0
1999-12-16,2326,2509,2326,2394,62980,43627.0,13893910.0
1999-12-17,2364,2394,2288,2295,55190,41821.0,13893910.0
1999-12-20,2295,2326,2242,2283,69990,41612.0,13893910.0
1999-12-21,2272,2272,2097,2138,60220,38972.0,13893910.0
1999-12-22,2028,2097,1922,1993,51970,36333.0,13893910.0
1999-12-23,1967,2127,1960,1959,88270,35707.0,13893910.0
1999-12-24,1983,2127,1983,2058,75250,37514.0,13893910.0
1999-12-27,2028,2204,2028,2173,88310,39598.0,13893910.0
1999-12-28,2143,2204,2028,2032,80730,37027.0,13893910.0
2000-01-04,2032,2272,2032,2218,46320,40431.0,13893910.0
2000-01-05,2181,2181,2089,2165,59810,39459.0,13893910.0
2000-01-06,2173,2265,1986,2112,47980,38486.0,13893910.0
2000-01-07,2112,2257,2059,2249,65370,40987.0,13893910.0
2000-01-10,2326,2417,2265,2390,129510,43557.0,13893910.0
2000-01-11,2310,2390,2249,2249,69310,40987.0,13893910.0
2000-01-12,2143,2242,2097,2112,44180,38486.0,13893910.0
2000-01-13,2059,2211,1983,2108,61870,38417.0,13893910.0
2000-01-14,2120,2173,2059,2165,56320,39459.0,13893910.0
2000-01-17,2112,2211,2044,2089,36800,38069.0,13893910.0
