한전KPS(051600),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-05-06,31900,32900,31750,32500,203325,1462500.0,45000000.0
2009-05-07,32800,32900,31800,31800,128852,1431000.0,45000000.0
2009-05-08,31850,32200,31450,31450,91829,1415250.0,45000000.0
2009-05-11,31700,32500,30900,30900,220716,1390500.0,45000000.0
2009-05-12,31100,32100,31000,31100,163920,1399500.0,45000000.0
2009-05-13,31400,31650,30950,31350,94445,1410750.0,45000000.0
2009-05-14,30900,31550,30800,31250,85781,1406250.0,45000000.0
2009-05-15,31450,31850,30800,30800,119684,1386000.0,45000000.0
2009-05-18,30850,31000,30000,30200,72715,1359000.0,45000000.0
2009-05-19,30950,31850,30550,31450,161184,1415250.0,45000000.0
2009-05-20,31600,31700,31300,31600,93853,1422000.0,45000000.0
2009-05-21,31600,31600,30700,31250,95611,1406250.0,45000000.0
2009-05-22,30850,31200,30350,30450,109457,1370250.0,45000000.0
2009-05-25,30000,30950,29500,30950,140173,1392750.0,45000000.0
2009-05-26,31000,31150,29750,30050,91959,1352250.0,45000000.0
2009-05-27,30300,30550,29650,30000,109282,1350000.0,45000000.0
2009-05-28,29700,30900,29550,30900,94797,1390500.0,45000000.0
2009-05-29,31200,31200,30500,30500,62985,1372500.0,45000000.0
2009-06-01,30950,31000,30100,30500,62541,1372500.0,45000000.0
2009-06-02,31000,31200,30650,30800,130121,1386000.0,45000000.0
2009-06-03,31000,33500,31000,33500,474202,1507500.0,45000000.0
2009-06-04,33100,33650,32000,32000,191677,1440000.0,45000000.0
2009-06-05,33150,34950,32750,33750,667653,1518750.0,45000000.0
2009-06-08,34150,34250,33050,34000,178341,1530000.0,45000000.0
2009-06-09,34450,34500,32500,32500,170083,1462500.0,45000000.0
2009-06-10,32500,33350,32150,33250,118465,1496250.0,45000000.0
2009-06-11,33500,33900,32700,33850,90833,1523250.0,45000000.0
2009-06-12,33900,33900,33100,33750,60555,1518750.0,45000000.0
2009-06-15,34100,34100,33100,33800,68835,1521000.0,45000000.0
2009-06-16,33500,35350,33300,35200,269630,1584000.0,45000000.0
2009-06-17,35000,35450,34600,35000,137386,1575000.0,45000000.0
2009-06-18,35200,36300,33900,33900,173877,1525500.0,45000000.0
2009-06-19,34500,35300,33800,35000,142764,1575000.0,45000000.0
2009-06-22,35500,35800,35000,35250,66000,1586250.0,45000000.0
2009-06-23,34950,35000,33100,34250,114734,1541250.0,45000000.0
2009-06-24,34450,34450,32650,33900,184228,1525500.0,45000000.0
2009-06-25,33850,34250,33250,34250,137418,1541250.0,45000000.0
2009-06-26,34400,34400,33650,33850,84225,1523250.0,45000000.0
2009-06-29,34050,34050,32450,32450,150936,1460250.0,45000000.0
2009-06-30,32600,33300,32150,33300,154674,1498500.0,45000000.0
2009-07-01,32800,33700,32800,33100,48965,1489500.0,45000000.0
2009-07-02,32900,33350,32850,33250,32344,1496250.0,45000000.0
2009-07-03,32900,34000,32650,34000,65221,1530000.0,45000000.0
2009-07-06,34150,34300,33750,33750,43046,1518750.0,45000000.0
2009-07-07,33700,33750,32850,33700,62441,1516500.0,45000000.0
2009-07-08,33250,34200,33200,33700,41514,1516500.0,45000000.0
2009-07-09,33750,34000,33350,33600,40985,1512000.0,45000000.0
2009-07-10,33900,34300,33550,34100,57338,1534500.0,45000000.0
2009-07-13,34300,34300,32850,32950,62850,1482750.0,45000000.0
2009-07-14,33300,33450,32150,32150,71502,1446750.0,45000000.0
